id,title,url,transcript_path,has_transcript,source,error
rKV5JcALQoQ,The different levels of how Claude thinks,https://www.youtube.com/watch?v=rKV5JcALQoQ,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/rKV5JcALQoQ.txt,True,yt-dlp,
Y9Wz2PV404E,Introducing Claude Fable 5,https://www.youtube.com/watch?v=Y9Wz2PV404E,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/Y9Wz2PV404E.txt,True,yt-dlp,
j2knrqAzYVY,Translating Claude’s thoughts into language,https://www.youtube.com/watch?v=j2knrqAzYVY,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/j2knrqAzYVY.txt,True,yt-dlp,
INGOC6-LLv0,An initiative to secure the world's software | Project Glasswing,https://www.youtube.com/watch?v=INGOC6-LLv0,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/INGOC6-LLv0.txt,True,yt-dlp,
D4XTefP3Lsc,When AIs act emotional,https://www.youtube.com/watch?v=D4XTefP3Lsc,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/D4XTefP3Lsc.txt,True,yt-dlp,
dPn3GBI8lII,Introducing Claude Opus 4.6,https://www.youtube.com/watch?v=dPn3GBI8lII,,False,,"[youtube] No supported JavaScript runtime could be found. Only deno is enabled by default; to use another runtime add  --js-runtimes RUNTIME[:PATH]  to your command/config. YouTube extraction without a JS runtime has been deprecated, and some formats may be missing. See  https://github.com/yt-dlp/yt-dlp/wiki/EJS  for details on installing one"
bluAmTHoEow,Your tools are now interactive in Claude,https://www.youtube.com/watch?v=bluAmTHoEow,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/bluAmTHoEow.txt,True,yt-dlp,
N5yJJA0NCU0,AI on campus,https://www.youtube.com/watch?v=N5yJJA0NCU0,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/N5yJJA0NCU0.txt,True,yt-dlp,
UAmKyyZ-b9E,Introducing Cowork: Claude Code for the rest of your work,https://www.youtube.com/watch?v=UAmKyyZ-b9E,,False,,"[youtube] No supported JavaScript runtime could be found. Only deno is enabled by default; to use another runtime add  --js-runtimes RUNTIME[:PATH]  to your command/config. YouTube extraction without a JS runtime has been deprecated, and some formats may be missing. See  https://github.com/yt-dlp/yt-dlp/wiki/EJS  for details on installing one"
nvbq39yVYRk,What is sycophancy in AI models?,https://www.youtube.com/watch?v=nvbq39yVYRk,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/nvbq39yVYRk.txt,True,yt-dlp,
rBJnWMD0Pho,Let Claude handle work in your browser,https://www.youtube.com/watch?v=rBJnWMD0Pho,,False,,"[youtube] No supported JavaScript runtime could be found. Only deno is enabled by default; to use another runtime add  --js-runtimes RUNTIME[:PATH]  to your command/config. YouTube extraction without a JS runtime has been deprecated, and some formats may be missing. See  https://github.com/yt-dlp/yt-dlp/wiki/EJS  for details on installing one"
5KTHvKCrQ00,Claude ran a business in our office,https://www.youtube.com/watch?v=5KTHvKCrQ00,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/5KTHvKCrQ00.txt,True,yt-dlp,
i9U_b-8KKno,Binti helps social workers license foster families faster with Claude,https://www.youtube.com/watch?v=i9U_b-8KKno,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/i9U_b-8KKno.txt,True,yt-dlp,
